State,Year,Quarter,Brands,User_Count,User_Percentage
ladakh,2022,1,Xiaomi,24460,26.44553042425291
ladakh,2022,1,Vivo,20679,22.357609306750852
ladakh,2022,1,Samsung,14554,15.735414954806902
ladakh,2022,1,Oppo,13813,14.934264585045193
ladakh,2022,1,Realme,7852,8.489382865545128
ladakh,2022,1,OnePlus,2984,3.2262249708082864
ladakh,2022,1,Apple,2655,2.8705185313324395
ladakh,2022,1,Huawei,996,1.076849889720192
ladakh,2022,1,Motorola,921,0.9957617956147559
ladakh,2022,1,Lenovo,502,0.542749643212386
ladakh,2022,1,Others,3076,3.325693032910954
ladakh,2021,2,Xiaomi,21227,28.28456454535764
ladakh,2021,2,Vivo,16463,21.93662722524251
ladakh,2021,2,Samsung,13134,17.50079948832747
ladakh,2021,2,Oppo,11029,14.695927939452083
ladakh,2021,2,Realme,4715,6.2826457733717085
ladakh,2021,2,Apple,1823,2.429112034964289
ladakh,2021,2,OnePlus,1741,2.3198486302099988
ladakh,2021,2,Motorola,922,1.228547063212877
ladakh,2021,2,Huawei,894,1.1912376079309241
ladakh,2021,2,Lenovo,490,0.6529154674341755
ladakh,2021,2,Others,2610,3.4777742244963226
ladakh,2021,3,Xiaomi,22384,27.563107991626644
ladakh,2021,3,Vivo,18124,22.317448590075113
ladakh,2021,3,Samsung,13661,16.82181997290974
ladakh,2021,3,Oppo,12095,14.893486023888682
ladakh,2021,3,Realme,5579,6.8698436153183104
ladakh,2021,3,OnePlus,2176,2.679472971308952
ladakh,2021,3,Apple,2004,2.4676763945326927
ladakh,2021,3,Huawei,1013,1.247383327176456
ladakh,2021,3,Motorola,910,1.1205516561999755
ladakh,2021,3,Lenovo,476,0.5861347124738333
ladakh,2021,3,Others,2788,3.433074744489595
ladakh,2021,1,Xiaomi,20199,28.889143151360862
ladakh,2021,1,Vivo,15183,21.71512750468399
ladakh,2021,1,Samsung,12232,17.494529384001485
ladakh,2021,1,Oppo,10382,14.8486105350477
ladakh,2021,1,Realme,3940,5.635092035069151
ladakh,2021,1,Apple,1613,2.306955191006736
ladakh,2021,1,OnePlus,1531,2.1896766258098657
ladakh,2021,1,Huawei,941,1.3458430469543328
ladakh,2021,1,Motorola,924,1.321529198072055
ladakh,2021,1,Lenovo,520,0.7437177305167408
ladakh,2021,1,Others,2454,3.5097755974770806
ladakh,2021,4,Xiaomi,23462,26.95015909117015
ladakh,2021,4,Vivo,19473,22.368103656225234
ladakh,2021,4,Samsung,14073,16.165271029325616
ladakh,2021,4,Oppo,12900,14.817877942037974
ladakh,2021,4,Realme,6879,7.901719563044901
ladakh,2021,4,OnePlus,2678,3.0761455138587364
ladakh,2021,4,Apple,2358,2.7085702470794994
ladakh,2021,4,Huawei,958,1.1004284549203396
ladakh,2021,4,Motorola,912,1.0475895103208244
ladakh,2021,4,Lenovo,449,0.5157540461996163
ladakh,2021,4,Others,2915,3.348380945817108
ladakh,2019,2,Xiaomi,10276,28.933438450275933
ladakh,2019,2,Vivo,7098,19.98535871156662
ladakh,2019,2,Samsung,6545,18.428313999324246
ladakh,2019,2,Oppo,5008,14.100687014303412
ladakh,2019,2,Realme,1573,4.428989751098097
ladakh,2019,2,Apple,862,2.427075121072193
ladakh,2019,2,OnePlus,777,2.1877463678342157
ladakh,2019,2,Motorola,658,1.8526861133010473
ladakh,2019,2,Lenovo,465,1.3092690618312874
ladakh,2019,2,Huawei,458,1.2895596350940421
ladakh,2019,2,Others,1796,5.0568757742989074
ladakh,2019,3,Xiaomi,11485,29.318663365072883
ladakh,2019,3,Vivo,7940,20.269062874939372
ladakh,2019,3,Samsung,7048,17.99198427488321
ladakh,2019,3,Oppo,5503,14.04794118397876
ladakh,2019,3,Realme,1760,4.492890511321574
ladakh,2019,3,Apple,953,2.4327981007326476
ladakh,2019,3,OnePlus,884,2.2566563704592446
ladakh,2019,3,Motorola,683,1.7435478518367242
ladakh,2019,3,Huawei,560,1.4295560717841371
ladakh,2019,3,Lenovo,442,1.1283281852296223
ladakh,2019,3,Others,1915,4.8885712097618255
ladakh,2019,1,Xiaomi,8452,28.506863637896725
ladakh,2019,1,Vivo,5967,20.12546797531114
ladakh,2019,1,Samsung,5464,18.42895207258255
ladakh,2019,1,Oppo,4167,14.054436911868864
ladakh,2019,1,Realme,1345,4.536409322405477
ladakh,2019,1,Apple,703,2.371074909777733
ladakh,2019,1,OnePlus,669,2.2563998785793786
ladakh,2019,1,Motorola,564,1.9022563998785793
ladakh,2019,1,Lenovo,380,1.281662113393369
ladakh,2019,1,Huawei,375,1.2647981382171405
ladakh,2019,1,Others,1563,5.271678640089042
ladakh,2019,4,Xiaomi,12590,29.205715876403453
ladakh,2019,4,Vivo,8910,20.669017351767653
ladakh,2019,4,Samsung,7684,17.824997680244966
ladakh,2019,4,Oppo,6141,14.245615662985989
ladakh,2019,4,Realme,2003,4.6464693328384525
ladakh,2019,4,Apple,1058,2.454300825832792
ladakh,2019,4,OnePlus,954,2.213046302310476
ladakh,2019,4,Motorola,752,1.7444557854690543
ladakh,2019,4,Huawei,607,1.408091305558133
ladakh,2019,4,Lenovo,433,1.0044539296650274
ladakh,2019,4,Others,1976,4.583835946924005
ladakh,2018,2,Xiaomi,3442,26.644991484749962
ladakh,2018,2,Samsung,2443,18.91159622232544
ladakh,2018,2,Vivo,2394,18.532280538783095
ladakh,2018,2,Oppo,1754,13.57795324353615
ladakh,2018,2,Realme,606,4.691128657686948
ladakh,2018,2,Apple,358,2.7713268307787584
ladakh,2018,2,OnePlus,320,2.4771636476234713
ladakh,2018,2,Motorola,265,2.051401145688187
ladakh,2018,2,Lenovo,206,1.5946740981576095
ladakh,2018,2,Micromax,188,1.4553336429787893
ladakh,2018,2,Others,942,7.292150487691592
ladakh,2018,3,Xiaomi,4906,27.640993858808947
ladakh,2018,3,Vivo,3378,19.032058144120796
ladakh,2018,3,Samsung,3360,18.930643979942534
ladakh,2018,3,Oppo,2448,13.792326328243846
ladakh,2018,3,Realme,819,4.614344470110992
ladakh,2018,3,Apple,457,2.5747929460814696
ladakh,2018,3,OnePlus,440,2.4790129021353318
ladakh,2018,3,Motorola,364,2.0508197644937742
ladakh,2018,3,Lenovo,240,1.3521888557101809
ladakh,2018,3,Huawei,200,1.1268240464251507
ladakh,2018,3,Others,1137,6.405994703926981
ladakh,2018,1,Xiaomi,2316,26.366120218579237
ladakh,2018,1,Samsung,1720,19.581056466302368
ladakh,2018,1,Vivo,1570,17.873406193078324
ladakh,2018,1,Oppo,1138,12.955373406193077
ladakh,2018,1,Realme,429,4.883879781420765
ladakh,2018,1,Apple,259,2.9485428051001823
ladakh,2018,1,OnePlus,233,2.6525500910746813
ladakh,2018,1,Motorola,161,1.8328779599271403
ladakh,2018,1,Lenovo,159,1.8101092896174862
ladakh,2018,1,Micromax,117,1.331967213114754
ladakh,2018,1,Others,682,7.764116575591985
ladakh,2018,4,Xiaomi,6734,28.195787798852738
ladakh,2018,4,Vivo,4711,19.725327638906336
ladakh,2018,4,Samsung,4481,18.762299543608425
ladakh,2018,4,Oppo,3307,13.846669178913872
ladakh,2018,4,Realme,1087,4.551354519951429
ladakh,2018,4,Apple,591,2.474563497048109
ladakh,2018,4,OnePlus,555,2.3238286647406103
ladakh,2018,4,Motorola,486,2.0349202361512373
ladakh,2018,4,Lenovo,349,1.4612904576476993
ladakh,2018,4,Huawei,278,1.1640078717079094
ladakh,2018,4,Others,1304,5.459950592471633
ladakh,2020,2,Xiaomi,15512,29.24916091563902
ladakh,2020,2,Vivo,11201,21.120413319757137
ladakh,2020,2,Samsung,9371,17.669796734170532
ladakh,2020,2,Oppo,7736,14.586868801146435
ladakh,2020,2,Realme,2628,4.9553116868424025
ladakh,2020,2,Apple,1234,2.3268092167288907
ladakh,2020,2,OnePlus,1131,2.132594184862541
ladakh,2020,2,Motorola,828,1.5612625862654146
ladakh,2020,2,Huawei,786,1.4820681072519515
ladakh,2020,2,Lenovo,461,0.8692536863144399
ladakh,2020,2,Others,2146,4.0464607610212315
ladakh,2020,3,Xiaomi,17122,29.317991130288867
ladakh,2020,3,Vivo,12388,21.211965548535126
ladakh,2020,3,Samsung,10309,17.652094998373315
ladakh,2020,3,Oppo,8583,14.696666152976833
ladakh,2020,3,Realme,3003,5.142035239122618
ladakh,2020,3,Apple,1338,2.2910566599886986
ladakh,2020,3,OnePlus,1228,2.1027037208266983
ladakh,2020,3,Motorola,865,1.481139021592096
ladakh,2020,3,Huawei,851,1.457166829335114
ladakh,2020,3,Lenovo,500,0.8561497234636393
ladakh,2020,3,Others,2214,3.7910309754969953
ladakh,2020,1,Xiaomi,13890,29.064657878217197
ladakh,2020,1,Vivo,10052,21.033689056287926
ladakh,2020,1,Samsung,8475,17.7338355304457
ladakh,2020,1,Oppo,6916,14.47164678803097
ladakh,2020,1,Realme,2292,4.7959824231010675
ladakh,2020,1,Apple,1130,2.3645114040594266
ladakh,2020,1,OnePlus,1058,2.2138522703494457
ladakh,2020,1,Motorola,787,1.646788030968822
ladakh,2020,1,Huawei,703,1.4710190416405107
ladakh,2020,1,Lenovo,453,0.9478970495919649
ladakh,2020,1,Others,2034,4.256120527306968
ladakh,2020,4,Xiaomi,18866,29.09040445314789
ladakh,2020,4,Vivo,13750,21.20179482830401
ladakh,2020,4,Samsung,11484,17.70773904059951
ladakh,2020,4,Oppo,9683,14.930689405270382
ladakh,2020,4,Realme,3480,5.365981527454397
ladakh,2020,4,Apple,1484,2.2882518927420477
ladakh,2020,4,OnePlus,1397,2.1541023545556874
ladakh,2020,4,Huawei,924,1.4247606124620293
ladakh,2020,4,Motorola,912,1.4062572278846006
ladakh,2020,4,Lenovo,524,0.8079811265477309
ladakh,2020,4,Others,2349,3.622037531031718
nagaland,2022,1,Xiaomi,86500,31.285829508505042
nagaland,2022,1,Vivo,48861,17.672334284567228
nagaland,2022,1,Samsung,33311,12.04811869084175
nagaland,2022,1,Oppo,32385,11.713197556450124
nagaland,2022,1,Realme,24725,8.942683636968638
nagaland,2022,1,Apple,5724,2.070290035915409
nagaland,2022,1,Huawei,4682,1.6934133382522614
nagaland,2022,1,Gionee,3847,1.391405619875363
nagaland,2022,1,Infinix,3655,1.32196192894319
